Account_ID,Customer_ID,Account_Type,Status
A0001,C0001,Current,Active
A0002,C0002,Savings,Active
A0003,C0003,Current,Active
A0004,C0004,Savings,Active
A0005,C0005,Current,Active
A0006,C0006,Savings,Active
A0007,C0007,Current,Active
A0008,C0008,Savings,Active
A0009,C0009,Current,Active
A0010,C0010,Savings,Active
A0011,C0011,Current,Active
A0012,C0012,Savings,Active
A0013,C0013,Current,Active
A0014,C0014,Savings,Active
A0015,C0015,Current,Active
A0016,C0016,Savings,Active
A0017,C0017,Current,Active
A0018,C0018,Savings,Active
A0019,C0019,Current,Active
A0020,C0020,Savings,Active
A0021,C0021,Current,Active
A0022,C0022,Savings,Active
A0023,C0023,Current,Active
A0024,C0024,Savings,Active
A0025,C0025,Current,Active
A0026,C0026,Savings,Active
A0027,C0027,Current,Active
A0028,C0028,Savings,Active
A0029,C0029,Current,Active
A0030,C0030,Savings,Active
A0031,C0031,Current,Active
A0032,C0032,Savings,Active
A0033,C0033,Current,Active
A0034,C0034,Savings,Active
A0035,C0035,Current,Active
A0036,C0036,Savings,Active
A0037,C0037,Current,Active
A0038,C0038,Savings,Active
A0039,C0039,Current,Active
A0040,C0040,Savings,Active
A0041,C0041,Current,Active
A0042,C0042,Savings,Active
A0043,C0043,Current,Active
A0044,C0044,Savings,Active
A0045,C0045,Current,Active
A0046,C0046,Savings,Active
A0047,C0047,Current,Active
A0048,C0048,Savings,Active
A0049,C0049,Current,Active
A0050,C0050,Savings,Active
A0051,C0051,Current,Active
A0052,C0052,Savings,Active
A0053,C0053,Current,Active
A0054,C0054,Savings,Active
A0055,C0055,Current,Active
A0056,C0056,Savings,Active
A0057,C0057,Current,Active
A0058,C0058,Savings,Active
A0059,C0059,Current,Active
A0060,C0060,Savings,Active
A0061,C0061,Current,Active
A0062,C0062,Savings,Active
A0063,C0063,Current,Active
A0064,C0064,Savings,Active
A0065,C0065,Current,Active
A0066,C0066,Savings,Active
A0067,C0067,Current,Active
A0068,C0068,Savings,Active
A0069,C0069,Current,Active
