Card_ID,Customer_ID,Card_Type
CR0001,C0001,Debit
CR0002,C0002,Credit
CR0003,C0003,Debit
CR0004,C0004,Credit
CR0005,C0005,Debit
CR0006,C0006,Credit
CR0007,C0007,Debit
CR0008,C0008,Credit
CR0009,C0009,Debit
CR0010,C0010,Credit
CR0011,C0011,Debit
CR0012,C0012,Credit
CR0013,C0013,Debit
CR0014,C0014,Credit
CR0015,C0015,Debit
CR0016,C0016,Credit
CR0017,C0017,Debit
CR0018,C0018,Credit
CR0019,C0019,Debit
CR0020,C0020,Credit
CR0021,C0021,Debit
CR0022,C0022,Credit
CR0023,C0023,Debit
CR0024,C0024,Credit
CR0025,C0025,Debit
CR0026,C0026,Credit
CR0027,C0027,Debit
CR0028,C0028,Credit
CR0029,C0029,Debit
CR0030,C0030,Credit
CR0031,C0031,Debit
CR0032,C0032,Credit
CR0033,C0033,Debit
CR0034,C0034,Credit
CR0035,C0035,Debit
CR0036,C0036,Credit
CR0037,C0037,Debit
CR0038,C0038,Credit
CR0039,C0039,Debit
CR0040,C0040,Credit
CR0041,C0041,Debit
CR0042,C0042,Credit
CR0043,C0043,Debit
CR0044,C0044,Credit
CR0045,C0045,Debit
CR0046,C0046,Credit
CR0047,C0047,Debit
CR0048,C0048,Credit
CR0049,C0049,Debit
CR0050,C0050,Credit
CR0051,C0051,Debit
CR0052,C0052,Credit
CR0053,C0053,Debit
CR0054,C0054,Credit
CR0055,C0055,Debit
CR0056,C0056,Credit
CR0057,C0057,Debit
CR0058,C0058,Credit
CR0059,C0059,Debit
CR0060,C0060,Credit
CR0061,C0061,Debit
CR0062,C0062,Credit
CR0063,C0063,Debit
CR0064,C0064,Credit
CR0065,C0065,Debit
CR0066,C0066,Credit
CR0067,C0067,Debit
CR0068,C0068,Credit
CR0069,C0069,Debit
CR0070,C0070,Credit
CR0071,C0071,Debit
CR0072,C0072,Credit
CR0073,C0073,Debit
CR0074,C0074,Credit
CR0075,C0075,Debit
CR0076,C0076,Credit
CR0077,C0077,Debit
CR0078,C0078,Credit
CR0079,C0079,Debit
CR0080,C0080,Credit
CR0081,C0081,Debit
CR0082,C0082,Credit
CR0083,C0083,Debit
CR0084,C0084,Credit
CR0085,C0085,Debit
CR0086,C0086,Credit
CR0087,C0087,Debit
CR0088,C0088,Credit
CR0089,C0089,Debit
CR0090,C0090,Credit
CR0091,C0091,Debit
CR0092,C0092,Credit
CR0093,C0093,Debit
CR0094,C0094,Credit
CR0095,C0095,Debit
CR0096,C0096,Credit
CR0097,C0097,Debit
CR0098,C0098,Credit
CR0099,C0099,Debit
CR0100,C0100,Credit
CR0101,C0101,Debit
CR0102,C0102,Credit
CR0103,C0103,Debit
CR0104,C0104,Credit
CR0105,C0105,Debit
CR0106,C0106,Credit
CR0107,C0107,Debit
CR0108,C0108,Credit
CR0109,C0109,Debit
CR0110,C0110,Credit
CR0111,C0111,Debit
CR0112,C0112,Credit
CR0113,C0113,Debit
CR0114,C0114,Credit
CR0115,C0115,Debit
CR0116,C0116,Credit
CR0117,C0117,Debit
CR0118,C0118,Credit
CR0119,C0119,Debit
CR0120,C0120,Credit
CR0121,C0121,Debit
CR0122,C0122,Credit
CR0123,C0123,Debit
CR0124,C0124,Credit
CR0125,C0125,Debit
CR0126,C0126,Credit
CR0127,C0127,Debit
CR0128,C0128,Credit
CR0129,C0129,Debit
CR0130,C0130,Credit
CR0131,C0131,Debit
CR0132,C0132,Credit
CR0133,C0133,Debit
CR0134,C0134,Credit
CR0135,C0135,Debit
CR0136,C0136,Credit
CR0137,C0137,Debit
CR0138,C0138,Credit
CR0139,C0139,Debit
CR0140,C0140,Credit
CR0141,C0141,Debit
