Customer_ID,Address_ID
C0001,ADD0270
C0002,ADD0070
C0003,ADD0070
C0004,ADD0223
C0005,ADD0165
C0006,ADD0229
C0007,ADD0248
C0008,ADD0014
C0009,ADD0046
C0010,ADD0186
C0011,ADD0239
C0012,ADD0049
C0013,ADD0017
C0014,ADD0068
C0015,ADD0032
C0016,ADD0271
C0017,ADD0121
C0018,ADD0172
C0019,ADD0264
C0020,ADD0032
C0021,ADD0196
C0022,ADD0159
C0023,ADD0090
C0024,ADD0159
C0025,ADD0243
C0026,ADD0200
C0027,ADD0063
C0028,ADD0052
C0029,ADD0181
C0030,ADD0122
C0031,ADD0159
C0032,ADD0276
C0033,ADD0099
C0034,ADD0221
C0035,ADD0133
C0036,ADD0196
C0037,ADD0014
C0038,ADD0021
C0039,ADD0224
C0040,ADD0174
C0041,ADD0287
C0042,ADD0208
C0043,ADD0083
C0044,ADD0183
C0045,ADD0274
C0046,ADD0107
C0047,ADD0152
C0048,ADD0207
C0049,ADD0297
C0050,ADD0207
C0051,ADD0042
C0052,ADD0146
C0053,ADD0084
C0054,ADD0175
C0055,ADD0261
C0056,ADD0010
C0057,ADD0147
C0058,ADD0258
C0059,ADD0063
C0060,ADD0108
C0061,ADD0262
C0062,ADD0287
C0063,ADD0043
C0064,ADD0226
C0065,ADD0005
C0066,ADD0121
C0067,ADD0234
C0068,ADD0046
C0069,ADD0232
C0070,ADD0271
C0071,ADD0242
C0072,ADD0049
C0073,ADD0103
C0074,ADD0043
C0075,ADD0062
C0076,ADD0033
C0077,ADD0122
C0078,ADD0189
C0079,ADD0175
C0080,ADD0129
C0081,ADD0142
C0082,ADD0241
C0083,ADD0251
C0084,ADD0119
C0085,ADD0165
C0086,ADD0166
C0087,ADD0107
C0088,ADD0267
C0089,ADD0111
C0090,ADD0169
C0091,ADD0266
C0092,ADD0092
C0093,ADD0180
C0094,ADD0109
C0095,ADD0199
C0096,ADD0213
C0097,ADD0207
C0098,ADD0040
C0099,ADD0143
C0100,ADD0285
C0101,ADD0294
C0102,ADD0089
C0103,ADD0210
C0104,ADD0255
C0105,ADD0260
C0106,ADD0087
C0107,ADD0100
C0108,ADD0040
C0109,ADD0202
C0110,ADD0259
C0111,ADD0131
C0112,ADD0213
C0113,ADD0261
C0114,ADD0266
C0115,ADD0237
C0116,ADD0289
C0117,ADD0170
C0118,ADD0084
C0119,ADD0131
C0120,ADD0251
C0121,ADD0009
C0122,ADD0249
C0123,ADD0133
C0124,ADD0237
C0125,ADD0158
C0126,ADD0173
C0127,ADD0050
C0128,ADD0136
C0129,ADD0186
C0130,ADD0041
C0131,ADD0091
C0132,ADD0242
C0133,ADD0115
C0134,ADD0042
C0135,ADD0067
C0136,ADD0297
C0137,ADD0021
C0138,ADD0195
C0139,ADD0210
C0140,ADD0200
C0141,ADD0062
C0142,ADD0102
C0143,ADD0042
C0144,ADD0293
C0145,ADD0009
C0146,ADD0229
C0147,ADD0069
C0148,ADD0088
C0149,ADD0246
C0150,ADD0242
C0151,ADD0259
C0152,ADD0104
C0153,ADD0039
C0154,ADD0070
C0155,ADD0290
C0156,ADD0103
C0157,ADD0014
C0158,ADD0110
C0159,ADD0202
