Customer_ID,Phone_ID
C0001,P0552
C0002,P0238
C0003,P0522
C0004,P0105
C0005,P0313
C0006,P0541
C0007,P0198
C0008,P0669
C0009,P0045
C0010,P0386
C0011,P0091
C0012,P0428
C0013,P0521
C0014,P0112
C0015,P0381
C0016,P0541
C0017,P0538
C0018,P0409
C0019,P0047
C0020,P0263
C0021,P0398
C0022,P0456
C0023,P0074
C0024,P0563
C0025,P0617
C0026,P0179
C0027,P0205
C0028,P0198
C0029,P0289
C0030,P0461
C0031,P0527
C0032,P0013
C0033,P0311
C0034,P0430
C0035,P0354
C0036,P0398
C0037,P0182
C0038,P0513
C0039,P0607
C0040,P0459
C0041,P0173
C0042,P0483
C0043,P0628
C0044,P0440
C0045,P0262
C0046,P0272
C0047,P0582
C0048,P0452
C0049,P0573
C0050,P0537
C0051,P0375
C0052,P0357
C0053,P0522
C0054,P0521
C0055,P0575
C0056,P0550
C0057,P0425
C0058,P0624
C0059,P0111
C0060,P0449
C0061,P0085
C0062,P0153
C0063,P0230
C0064,P0568
C0065,P0220
C0066,P0623
C0067,P0462
C0068,P0508
C0069,P0160
C0070,P0289
C0071,P0374
C0072,P0637
C0073,P0268
C0074,P0659
C0075,P0592
C0076,P0292
C0077,P0210
C0078,P0643
C0079,P0038
C0080,P0675
C0081,P0198
C0082,P0043
C0083,P0570
C0084,P0448
C0085,P0523
C0086,P0529
C0087,P0266
C0088,P0225
C0089,P0650
C0090,P0353
C0091,P0073
C0092,P0049
C0093,P0492
C0094,P0579
C0095,P0657
C0096,P0696
C0097,P0103
C0098,P0062
C0099,P0573
C0100,P0659
C0101,P0603
C0102,P0280
C0103,P0543
C0104,P0422
C0105,P0694
C0106,P0634
C0107,P0322
C0108,P0681
C0109,P0333
C0110,P0692
C0111,P0423
C0112,P0455
C0113,P0598
C0114,P0541
C0115,P0589
C0116,P0189
C0117,P0280
C0118,P0022
C0119,P0518
C0120,P0501
C0121,P0025
C0122,P0198
C0123,P0105
C0124,P0586
C0125,P0484
C0126,P0212
C0127,P0383
C0128,P0016
C0129,P0321
C0130,P0545
C0131,P0406
C0132,P0682
C0133,P0233
C0134,P0136
C0135,P0633
C0136,P0510
C0137,P0261
C0138,P0151
C0139,P0437
C0140,P0270
C0141,P0553
C0142,P0112
C0143,P0623
C0144,P0098
C0145,P0020
C0146,P0443
C0147,P0594
C0148,P0065
C0149,P0646
C0150,P0400
C0151,P0446
C0152,P0578
C0153,P0375
C0154,P0202
C0155,P0226
C0156,P0500
C0157,P0132
C0158,P0206
C0159,P0074
C0160,P0154
C0161,P0029
C0162,P0184
C0163,P0121
C0164,P0567
C0165,P0697
C0166,P0510
C0167,P0554
C0168,P0480
C0169,P0196
C0170,P0690
C0171,P0481
C0172,P0521
C0173,P0566
C0174,P0514
C0175,P0627
C0176,P0447
C0177,P0270
C0178,P0270
C0179,P0366
C0180,P0129
C0181,P0282
C0182,P0370
C0183,P0178
C0184,P0136
C0185,P0523
C0186,P0347
C0187,P0608
C0188,P0295
C0189,P0151
C0190,P0023
C0191,P0069
C0192,P0538
C0193,P0447
C0194,P0356
C0195,P0492
C0196,P0275
C0197,P0452
C0198,P0429
C0199,P0699
C0200,P0255
C0201,P0195
C0202,P0352
C0203,P0502
C0204,P0532
C0205,P0135
C0206,P0565
C0207,P0583
C0208,P0377
C0209,P0268
C0210,P0670
C0211,P0238
C0212,P0440
C0213,P0245
C0214,P0024
C0215,P0689
C0216,P0386
C0217,P0185
C0218,P0533
C0219,P0185
C0220,P0545
C0221,P0290
C0222,P0357
C0223,P0615
C0224,P0269
C0225,P0089
C0226,P0203
C0227,P0141
C0228,P0256
C0229,P0163
C0230,P0231
C0231,P0661
C0232,P0695
C0233,P0585
C0234,P0488
C0235,P0050
C0236,P0013
C0237,P0572
C0238,P0559
C0239,P0351
C0240,P0568
C0241,P0641
C0242,P0664
C0243,P0126
C0244,P0668
C0245,P0550
C0246,P0593
C0247,P0548
C0248,P0572
C0249,P0531
C0250,P0561
C0251,P0169
C0252,P0396
C0253,P0272
C0254,P0189
C0255,P0385
C0256,P0251
C0257,P0223
C0258,P0367
C0259,P0440
C0260,P0674
C0261,P0456
C0262,P0534
C0263,P0239
C0264,P0611
C0265,P0541
C0266,P0044
C0267,P0403
C0268,P0518
