Txn_ID,Account_ID,Amount,Merchant
T00001,A0855,30459,Amazon
T00002,A0420,16719,Flipkart
T00003,A0644,10565,Zomato
T00004,A0132,33610,Myntra
T00005,A0645,38121,Flipkart
T00006,A0051,12394,Amazon
T00007,A0068,30695,Swiggy
T00008,A0598,42012,Amazon
T00009,A0831,7046,Myntra
T00010,A0024,29646,Flipkart
T00011,A0239,6576,Myntra
T00012,A0635,28167,Amazon
T00013,A0628,5676,Myntra
T00014,A0612,46320,Myntra
T00015,A0856,20488,Flipkart
T00016,A0508,903,Amazon
T00017,A0196,41625,Zomato
T00018,A0949,14294,Flipkart
T00019,A0204,34591,Swiggy
T00020,A0854,37606,Amazon
T00021,A0501,25406,Zomato
T00022,A0631,7511,Zomato
T00023,A0333,25094,Flipkart
T00024,A0733,29647,Zomato
T00025,A0383,36548,Myntra
T00026,A0961,31779,Amazon
T00027,A0833,7639,Swiggy
T00028,A0899,23452,Flipkart
T00029,A0264,18781,Myntra
T00030,A0894,41885,Flipkart
T00031,A0335,7865,Myntra
T00032,A0859,48494,Zomato
T00033,A0552,16474,Zomato
T00034,A0148,34031,Zomato
T00035,A0914,40260,Flipkart
T00036,A0979,2641,Zomato
T00037,A0699,26646,Amazon
T00038,A0562,28440,Swiggy
T00039,A0161,46724,Swiggy
T00040,A0295,47914,Swiggy
T00041,A0023,163,Zomato
T00042,A0550,21857,Myntra
T00043,A0885,39718,Myntra
T00044,A0171,33535,Myntra
T00045,A0266,20366,Amazon
T00046,A0942,49262,Myntra
T00047,A0163,765,Myntra
T00048,A0548,48064,Myntra
T00049,A0452,38873,Flipkart
T00050,A0244,8098,Swiggy
T00051,A0483,42151,Zomato
T00052,A0274,19964,Amazon
T00053,A0490,49455,Zomato
T00054,A0028,25558,Myntra
T00055,A0813,34596,Zomato
T00056,A0657,47259,Amazon
T00057,A0920,41652,Swiggy
T00058,A0994,26514,Myntra
T00059,A0078,13339,Swiggy
T00060,A0535,40216,Amazon
T00061,A0717,28895,Swiggy
T00062,A0131,19965,Amazon
T00063,A0735,5046,Zomato
T00064,A0751,12303,Zomato
T00065,A0341,16298,Myntra
T00066,A0511,6470,Swiggy
T00067,A0544,8947,Swiggy
T00068,A0510,4153,Swiggy
